"BongZilla","1,021,661,239", "1"
"Scarleigh","543,412,582", "2"
"RAWR","500,617,892", "3"
"Mal Blue","373,918,997", "4"
"AUNTYYroseASORUS","315,205,568", "5"
"TyrianosaurusRex","307,888,130", "6"
"black swordsman","307,012,321", "7"
"Leightscar","302,859,127", "8"
"GAMZEeSauruS","298,315,677", "9"
"DURUSAURUS REX","286,170,921", "10"
"MeSaurus","285,686,905", "11"
"yasmin","274,023,841", "12"
"Heradactyl","267,776,059", "13"
"runopunisaurus","262,660,174", "14"
"Debugsaurous","256,857,261", "15"
"JV111","255,075,664", "16"
"NinjatitanJuke","250,732,225", "17"
"Samaelritops","250,172,908", "18"
"LunasaurusRex","246,904,977", "19"
"kaos505","241,862,230", "20"
"BêBë","233,197,169", "21"
"Roronoa","230,115,877", "22"
"Lady Minnie","229,978,534", "23"
"*Mëwlôdy*","229,515,658", "24"
"Scooby","228,584,854", "25"
"Blank","226,839,909", "26"
"Yukina","226,592,411", "27"
"R10ur","218,197,156", "28"
"Rex Orion","217,627,932", "29"
"Legend_Mati","217,287,419", "30"
"Kittydactyl","216,111,941", "31"
"King UnoCapybara","214,945,595", "32"
"Master Rex","214,413,653", "33"
"Fronanisss","211,963,833", "34"
"Barisaurus","211,900,653", "35"
"Awang","208,650,034", "36"
"Nyx","205,758,452", "37"
"NiZaR","205,466,681", "38"
"Mo§cHaTo","204,493,768", "39"
"CHICKEYSAUROS","204,287,393", "40"
"blakeagl3","203,660,467", "41"
"Lidya","202,233,280", "42"
"CPJ Papasauraus","201,036,150", "43"
"Nemesarus","199,505,279", "44"
"Frikisaurus","198,505,974", "45"
"Gardevoir","198,258,097", "46"
"chicken jeff","196,692,926", "47"
"Ryannasaurus Rex","196,425,220", "48"
"No Mad Greymon","194,917,330", "49"
"Blossy","194,346,032", "50"
"Avysorus","194,234,819", "51"
"CutieQuisaurus","192,257,452", "52"
"Lord Sidekick","191,906,085", "53"
"IKHAY","190,668,671", "54"
"IZEbearosauros","190,576,956", "55"
"PolloSaurio","187,803,614", "56"
"chopperatops","184,311,444", "57"
"MorDuatops","182,055,790", "58"
"Galactus","180,223,708", "59"
"TiGrOusaurusRex","179,527,861", "60"
"Florasaurus","177,904,583", "61"
"Henry","175,444,261", "62"
"Fidem","174,923,048", "63"
"Its Nova","172,208,540", "64"
"Florasaurus","171,074,969", "65"
"Angelosaurus Rex","168,491,704", "66"
"MommasaurusRex","167,684,016", "67"
"Randomgamer","166,104,388", "68"
"Cordonosaurus","165,130,001", "69"
"MichaelMax","164,042,803", "70"
"lamTheWizard","162,808,989", "71"
"WillFree","162,196,903", "72"
"Pagan","162,080,166", "73"
"Misfit","161,888,739", "74"
"lil Gnossaurus","161,478,854", "75"
"Girlysaurus","160,377,035", "76"
"Papa Smurf","160,326,718", "77"
"Mal Kitty Cat","157,644,688", "78"
"Aracix","156,833,769", "79"
"FOOTYSAURUS","151,267,524", "80"
"RAEDksa","150,290,709", "81"
"Galllade","149,872,654", "82"
"assdoraptor","149,143,656", "83"
"Stalker Raptor","138,029,357", "84"
"Archängel","131,415,751", "85"
"Wessam Il","130,890,609", "86"
"Ruthless","127,976,209", "87"
"DND","122,437,174", "88"
"Howie","113,823,347", "89"
"Darkkkasaurus","110,680,706", "90"
"505Jay","104,496,589", "91"
"Anyaforger","100,077,618", "92"
"allie","95,618,999", "93"
"JOKER","93,626,848", "94"
"MeowferHenry","93,535,285", "95"
"ArwenAragorn","93,273,191", "96"
"Tanya","85,573,486", "97"
"Douthinkhesawus","3,204,731", "98"
"Caragh Tap","2,212,599", "99"
